,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
430 nm,1.85161,2.18317,2.632,3.1943,3.66229,4.17887,4.52352,4.78365,4.93865,4.98568,4.8371,4.12637,3.08232,1.457,3.21931,3.82522,3.64992,3.47453,2.97814,2.55333,2.24917,1.89119,1.51446,1.20999,0.94197,0.53473,0.24806,0,0.0259,0.35618,0.52387,0.6765,0.77095,0.78228,0.65408,0.39146,0.15971,0.21512,0.37172,0.50302,0.73928
420 nm,1.58687,1.63667,1.70669,1.79998,1.87911,1.96494,2.01902,2.05222,2.06229,2.04514,1.99226,1.84443,1.61991,1.14008,1.55792,1.54579,1.43077,1.3637,1.20915,1.0848,0.94782,0.79724,0.63816,0.50405,0.3872,0.21293,0.09323,0.0259,0,0.2678,0.41012,0.55927,0.65821,0.67652,0.59184,0.4182,0.26578,0.155,0.13998,0.14405,0.55618
410 nm,3.73352,3.78741,3.8532,3.9294,3.97933,4.0092,4.00306,3.95528,3.86286,3.67851,3.41311,2.91495,2.49517,2.00259,2.22567,2.38027,2.2441,2.14003,1.87912,1.66563,1.48427,1.29698,1.11529,0.94717,0.81246,0.63712,0.5125,0.35618,0.2678,0,0.13056,0.29931,0.43537,0.48601,0.47717,0.42307,0.35846,0.29881,0.24441,0.15215,1.24656
400 nm,4.81101,4.89636,5.00478,5.1359,5.2304,5.30406,5.31929,5.27185,5.15186,4.89122,4.51508,3.85902,3.39574,2.91446,3.03888,3.22041,3.07754,2.94579,2.56329,2.18124,1.96275,1.7379,1.56724,1.36687,1.1838,0.92877,0.74577,0.52387,0.41012,0.13056,0,0.17811,0.33427,0.40337,0.42305,0.40201,0.35363,0.29917,0.23801,0.13485,1.60767
390 nm,6.46494,6.54787,6.64384,6.74677,6.80115,6.80138,6.73747,6.58317,6.32577,5.85463,5.27016,4.43867,3.96819,3.5317,3.54784,3.65152,3.48717,3.33182,2.84976,2.29619,2.06536,1.88229,1.82018,1.62437,1.42181,1.13063,0.92108,0.6765,0.55927,0.29931,0.17811,0,0.17966,0.27677,0.33493,0.35258,0.32084,0.26831,0.20425,0.15869,2.00881
380 nm,7.73589,7.81118,7.88774,7.95301,7.95851,7.87335,7.7199,7.44879,7.04756,6.37518,5.62335,4.69651,4.2427,3.85479,3.83097,3.87233,3.68783,3.51596,2.96401,2.29769,2.04544,1.92619,1.95522,1.76231,1.55072,1.24197,1.01928,0.77095,0.65821,0.43537,0.33427,0.17966,0,0.11202,0.19253,0.23288,0.21799,0.18684,0.18778,0.3253,2.20174
370 nm,8.21857,8.28669,8.34886,8.38885,8.3639,8.22837,8.02416,7.68967,7.21433,6.44625,5.62521,4.67311,4.23398,3.87383,3.84354,3.86382,3.67735,3.50538,2.94745,2.26883,2.008,1.91711,1.966,1.77037,1.55816,1.24793,1.0235,0.78228,0.67652,0.48601,0.40337,0.27677,0.11202,0,0.08544,0.13625,0.14827,0.17638,0.25781,0.47395,2.20045
360 nm,8.73293,8.76974,8.77937,8.73655,8.62282,8.35702,8.0347,7.56863,6.95449,6.0104,5.03638,3.9469,3.45009,3.05121,3.02868,3.06649,2.93109,2.81003,2.42349,1.94547,1.72139,1.65347,1.62457,1.42807,1.25156,1.00312,0.82291,0.65408,0.59184,0.47717,0.42305,0.33493,0.19253,0.08544,0,0.05903,0.10624,0.19262,0.32031,0.58648,2.11267
350 nm,9.4612,9.4635,9.41375,9.27475,9.05469,8.62697,8.15217,7.5096,6.70029,5.48668,4.2308,2.75627,1.97591,1.18512,1.15244,1.2886,1.18888,1.11294,0.97048,0.87693,0.79107,0.73894,0.65808,0.59812,0.55857,0.47752,0.39621,0.39146,0.4182,0.42307,0.40201,0.35258,0.23288,0.13625,0.05903,0,0.07226,0.19121,0.34504,0.6517,2.08001
340 nm,10.19794,10.1992,10.14399,9.99141,9.75003,9.27825,8.75223,8.03939,7.14254,5.80934,4.45039,2.87997,2.05639,1.20566,1.14488,1.28835,1.19248,1.11625,0.97031,0.87166,0.78154,0.72977,0.63972,0.55561,0.48143,0.31594,0.11847,0.15971,0.26578,0.35846,0.35363,0.32084,0.21799,0.14827,0.10624,0.07226,0,0.12619,0.28998,0.61883,2.2661
330 nm,11.92598,11.98489,12.0134,11.97558,11.83184,11.45362,10.97104,10.26039,9.32783,7.97272,6.7147,5.47704,4.9764,4.56657,4.46796,4.41735,4.16196,3.92321,3.1011,2.05141,1.70386,1.86436,2.12054,1.89259,1.59306,1.0839,0.67317,0.21512,0.155,0.29881,0.29917,0.26831,0.18684,0.17638,0.19262,0.19121,0.12619,0,0.17598,0.5474,2.88262
320 nm,13.91096,14.06845,14.24362,14.40753,14.43522,14.22158,13.82062,13.13023,12.16134,10.77609,9.58311,8.48276,8.05884,7.64274,7.36618,7.01716,6.28422,5.65934,3.86533,2.16568,1.72441,2.06247,2.8022,2.75467,2.41053,1.69471,1.08721,0.37172,0.13998,0.24441,0.23801,0.20425,0.18778,0.25781,0.32031,0.34504,0.28998,0.17598,0,0.40006,3.61396
310 nm,20.65986,21.10197,21.68737,22.34849,22.69854,22.61608,22.14824,21.21893,19.92088,18.32404,17.19108,16.08406,15.50535,14.44316,13.0284,11.24023,8.91936,7.4109,4.2773,2.12351,1.60061,2.07849,3.29031,3.6446,3.37927,2.43734,1.54081,0.50302,0.14405,0.15215,0.13485,0.15869,0.3253,0.47395,0.58648,0.6517,0.61883,0.5474,0.40006,0,5.30113
300 nm,10.71456,11.05583,11.82735,13.16993,14.46775,15.91429,16.76769,17.17419,17.10436,16.73613,16.39029,15.82433,15.39965,14.34998,12.69597,10.53927,7.97653,6.41687,3.43102,1.76198,1.40032,1.6745,2.09652,1.83805,1.31829,0.55227,0.55634,0.73928,0.55618,1.24656,1.60767,2.00881,2.20174,2.20045,2.11267,2.08001,2.2661,2.88262,3.61396,5.30113,0
