,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
532 nm,19.39229,17.88953,15.89533,13.35418,11.16825,8.61156,6.76336,5.16703,3.93934,2.91641,2.48233,2.51866,2.60544,2.67169,2.41839,1.81697,0.73745,0,1.67834,2.4817,3.45251,4.2637,5.08472,5.50889,5.64314,5.38182,4.80559,3.33627,1.48439,2.03472,2.8196,3.14798,3.27473,3.25228,2.63832,1.42119,1.39913,3.65329,5.87703,10.37984,11.01369
520 nm,12.18232,11.18845,9.8507,8.17167,6.74785,5.11595,3.9844,3.09587,2.5806,2.49251,2.79826,3.326,3.6036,3.8973,3.82504,3.3914,2.38676,1.67834,0,0.88108,1.89833,2.79941,3.75539,4.29899,4.53317,4.44173,4.01234,2.83801,1.30145,1.78337,2.44784,2.73549,2.87818,2.87706,2.31196,1.04313,1.03,3.27612,5.11897,7.90569,7.90466
510 nm,8.82514,8.09253,7.10151,5.85452,4.79297,3.57122,2.72648,2.09283,1.82766,2.06321,2.60746,3.35068,3.74724,4.22924,4.33003,4.05762,3.14361,2.4817,0.88108,0,0.98409,1.87221,2.81089,3.35534,3.61978,3.62253,3.28593,2.37765,1.134,1.57994,2.07404,2.29989,2.49366,2.53745,2.07047,0.83603,0.82841,2.94309,4.36913,6.00357,5.921
500 nm,4.77627,4.36087,3.79951,3.09596,2.50176,1.83491,1.41686,1.21984,1.37752,1.97561,2.70417,3.62376,4.12512,4.78299,5.04515,4.9243,4.08078,3.45251,1.89833,0.98409,0,0.93509,1.95314,2.56779,2.89093,3.00063,2.75895,2.00924,0.96034,1.35941,1.71541,1.77885,1.95216,2.0359,1.76265,0.73452,0.7303,2.35213,3.02126,3.47078,3.33378
492 nm,1.56306,1.4163,1.22134,0.98387,0.79021,0.56846,0.38421,0.18036,0.40519,1.18887,2.1031,3.30498,3.98683,4.94005,5.46163,5.56866,4.8375,4.2637,2.79941,1.87221,0.93509,0,1.03492,1.67876,2.04493,2.26648,2.1396,1.57992,0.70663,1.06101,1.25341,0.7899,0.329,0.41682,0.57648,0.51262,0.53775,0.97361,1.09435,1.20459,1.03231
480 nm,1.57757,1.37988,1.30174,1.50527,1.83237,2.22404,2.40699,2.3451,1.92037,0.91932,0.53434,2.20788,3.22859,4.71215,5.67039,6.13445,5.57602,5.08472,3.75539,2.81089,1.95314,1.03492,0,0.67927,1.10861,1.50675,1.58251,1.27016,0.52651,0.94642,1.33424,1.5362,1.63143,1.63219,1.37962,0.5753,0.56341,1.80305,2.30699,2.65807,1.428
470 nm,2.87387,2.74157,2.83713,3.31552,3.89415,4.57768,4.9489,4.99437,4.55588,3.36514,1.9214,1.38817,2.44422,4.31453,5.622,6.35325,5.93162,5.50889,4.29899,3.35534,2.56779,1.67876,0.67927,0,0.46813,0.99929,1.22273,1.06902,0.45916,0.84824,1.23844,1.48963,1.62617,1.63842,1.31893,0.53552,0.50474,1.78626,2.63197,3.53872,1.99395
460 nm,3.52462,3.58642,3.92387,4.63746,5.36943,6.20196,6.67019,6.79051,6.39045,5.16024,3.52992,1.80699,2.17378,4.03474,5.50652,6.358,6.01779,5.64314,4.53317,3.61978,2.89093,2.04493,1.10861,0.46813,0,0.59115,0.89077,0.85233,0.36658,0.73699,1.09057,1.32834,1.46467,1.48324,1.19758,0.55965,0.50644,1.55472,2.37168,3.39977,1.89382
450 nm,4.07631,4.40059,4.96888,5.82243,6.59928,7.46041,7.97436,8.20334,8.0013,7.05975,5.52459,3.11985,2.26324,3.44699,5.02496,5.94036,5.68911,5.38182,4.44173,3.62253,3.00063,2.26648,1.50675,0.99929,0.59115,0,0.3612,0.49312,0.20018,0.58783,0.8771,1.0878,1.21903,1.24737,1.04039,0.62118,0.53007,1.14086,1.7138,2.45027,1.55637
440 nm,3.8291,4.21787,4.79795,5.58752,6.27532,7.03678,7.51845,7.81042,7.8263,7.37835,6.37348,4.17206,2.65808,2.6545,4.32365,5.2567,5.06069,4.80559,4.01234,3.28593,2.75895,2.1396,1.58251,1.22273,0.89077,0.3612,0,0.23057,0.07833,0.48814,0.72363,0.90901,1.0281,1.0562,0.90058,0.59459,0.47514,0.78837,1.13171,1.53531,1.39391
