,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
410 nm,5.78271,5.83139,5.87717,5.89933,5.87122,5.7547,5.58817,5.32257,4.91888,4.18195,3.39772,2.551,2.37873,2.39956,2.39785,2.3085,1.84631,1.49492,1.39281,1.70527,1.60232,1.44162,1.16527,0.9391,0.78397,0.57885,0.41901,0.22093,0.13715,0,0.09354,0.2636,0.45986,0.58323,0.62753,0.56875,0.46027,0.33104,0.27181,0.25322,1.55767
400 nm,6.67033,6.67951,6.6697,6.61197,6.49912,6.25637,5.97335,5.57142,5.01177,4.08966,3.22009,2.39097,2.21813,2.1948,2.17145,2.08197,1.7539,1.53049,1.35579,1.51328,1.39006,1.23138,0.98796,0.80292,0.68275,0.52672,0.40469,0.2714,0.22178,0.09354,0,0.17451,0.37641,0.50096,0.55806,0.52538,0.43847,0.32781,0.26138,0.22984,1.65569
390 nm,8.16155,8.11271,8.02846,7.87164,7.6504,7.23509,6.78373,6.16945,5.35456,4.14848,3.17281,2.3719,2.22739,2.21483,2.22507,2.17875,1.99058,1.86737,1.68976,1.73188,1.6012,1.44524,1.20935,1.01843,0.8853,0.70721,0.57559,0.44205,0.38769,0.2636,0.17451,0,0.2104,0.33899,0.40681,0.38909,0.30698,0.20644,0.16854,0.23808,1.76109
380 nm,9.55231,9.47708,9.36002,9.15648,8.87318,8.3374,7.75593,6.96915,5.95388,4.5853,3.63626,2.98283,2.90103,2.92379,2.95425,2.91558,2.73828,2.5951,2.31763,2.37833,2.23484,2.05692,1.75695,1.49111,1.29617,1.03831,0.85913,0.67508,0.59288,0.45986,0.37641,0.2104,0,0.13006,0.20179,0.18833,0.1187,0.14049,0.26105,0.4569,1.87502
370 nm,10.24411,10.17078,10.05795,9.85815,9.56855,9.00197,8.37885,7.53217,6.45289,5.07284,4.20181,3.65931,3.60926,3.64124,3.66135,3.59364,3.356,3.14909,2.73744,2.85765,2.71159,2.52259,2.1672,1.8383,1.59457,1.27667,1.06076,0.83458,0.73013,0.58323,0.50096,0.33899,0.13006,0,0.07282,0.06701,0.09904,0.24539,0.39975,0.6274,1.97709
360 nm,11.19665,11.12362,11.00337,10.77623,10.44165,9.78126,9.05678,8.08653,6.8788,5.38999,4.47761,3.90946,3.83804,3.83242,3.81594,3.70989,3.43191,3.20054,2.7567,2.86435,2.70529,2.50482,2.12637,1.77792,1.5261,1.21415,1.01371,0.81817,0.73305,0.62753,0.55806,0.40681,0.20179,0.07282,0,0.03668,0.15359,0.32671,0.49771,0.75047,2.12724
350 nm,12.68515,12.62974,12.5162,12.26314,11.87174,11.07987,10.2079,9.05594,7.65455,5.97502,4.94171,4.25554,4.11279,4.00058,3.87925,3.66344,3.26033,2.96069,2.45621,2.5579,2.36787,2.13247,1.68365,1.27723,1.01004,0.7505,0.62985,0.56854,0.55912,0.56875,0.52538,0.38909,0.18833,0.06701,0.03668,0,0.12879,0.31509,0.49998,0.77563,2.43891
340 nm,14.20579,14.19464,14.12698,13.90344,13.50823,12.65207,11.68705,10.40628,8.86098,7.05952,5.97524,5.23423,5.04569,4.8405,4.59481,4.20647,3.55935,3.10682,2.45129,2.64714,2.44592,2.1814,1.58468,0.98997,0.57747,0.18902,0.09605,0.25559,0.32959,0.46027,0.43847,0.30698,0.1187,0.09904,0.15359,0.12879,0,0.18705,0.37664,0.66251,2.88589
330 nm,17.07867,17.1432,17.16766,17.02203,16.63891,15.67723,14.55472,13.0574,11.29295,9.39057,8.358,7.66142,7.46391,7.16402,6.71101,5.96954,4.85204,4.1434,3.30494,3.70464,3.58125,3.40653,2.76152,2.06749,1.61185,1.15419,0.87526,0.51409,0.2932,0.33104,0.32781,0.20644,0.14049,0.24539,0.32671,0.31509,0.18705,0,0.19867,0.51348,3.74422
320 nm,20.09553,20.22122,20.33619,20.2732,19.89832,18.80677,17.51211,15.79827,13.8455,11.91373,10.98162,10.34308,10.13207,9.69531,8.94881,7.76215,6.18235,5.28674,4.373,4.91721,4.89025,4.86697,4.30495,3.56386,3.00412,2.29251,1.76836,1.02642,0.56,0.27181,0.26138,0.16854,0.26105,0.39975,0.49771,0.49998,0.37664,0.19867,0,0.33823,4.6485
310 nm,29.32434,29.18062,29.22607,29.04214,28.36992,26.54369,24.65949,22.47759,20.35819,18.72306,18.08078,17.30677,16.77428,15.48738,13.59892,11.25231,8.92723,7.86818,6.97213,7.59765,7.66083,7.87268,7.58835,6.79639,5.93792,4.51646,3.34109,1.72914,0.87811,0.25322,0.22984,0.23808,0.4569,0.6274,0.75047,0.77563,0.66251,0.51348,0.33823,0,6.69105
300 nm,18.57093,19.00891,19.67264,20.4797,20.90243,20.61329,19.88644,18.7765,17.57602,16.76722,16.62543,16.27088,15.90883,14.80876,13.07763,10.99664,9.07762,8.22429,7.29133,7.31762,6.99993,6.60138,5.56121,4.24994,3.07935,1.43312,0.46439,0.86713,1.15307,1.55767,1.65569,1.76109,1.87502,1.97709,2.12724,2.43891,2.88589,3.74422,4.6485,6.69105,0
