,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
460 nm,96.52865,86.8139,79.82415,70.57459,61.64876,46.68114,33.8412,21.69332,12.01146,11.13199,12.5128,14.13711,13.98201,13.13204,11.2432,9.61191,6.80063,5.69911,4.69361,4.65763,4.28031,3.68627,2.41819,1.10252,0,1.11121,1.46493,1.12233,0.3772,1.07475,1.52473,1.80622,1.96316,2.03763,1.66656,0.76919,0.72882,2.89378,5.18056,10.76579,1.39372
450 nm,76.49231,69.45888,64.67229,58.49304,52.92947,43.29612,33.96064,23.3568,11.82552,7.96292,9.72423,11.99417,12.00929,11.52036,9.89913,8.53107,5.9112,5.02285,4.68975,5.01439,4.76258,4.28476,3.18466,2.06717,1.11121,0,0.54167,0.60581,0.19023,0.82478,1.18687,1.44255,1.60387,1.68806,1.40933,0.68548,0.45114,2.15912,3.91737,7.68187,0.94388
440 nm,55.91298,51.03892,47.85213,43.84474,40.53748,35.0333,29.53789,22.36218,11.57954,3.36766,6.45425,9.78138,9.9513,9.75833,8.34598,7.16543,4.54737,3.8198,4.23976,4.7924,4.56433,4.10777,3.133,2.21998,1.46493,0.54167,0,0.25918,0.0669,0.66771,0.96752,1.20825,1.3772,1.47178,1.26777,0.68951,0.14534,1.45145,2.71337,5.05391,1.11588
430 nm,27.42355,25.13526,23.68059,21.89517,20.5513,18.54001,16.76952,14.62469,10.74291,3.7069,5.19106,7.42051,7.41487,7.04065,6.064,5.1627,2.75541,1.96441,3.14528,3.42343,3.1048,2.69603,2.05339,1.53109,1.12233,0.60581,0.25918,0,0.04634,0.48419,0.7172,0.95119,1.14183,1.25886,1.16533,0.82146,0.36947,0.45721,1.09441,2.11797,0.97423
420 nm,7.52732,6.93646,6.53518,6.05065,5.67178,5.15888,4.74596,4.31674,3.79674,2.49221,2.59026,2.7188,2.6119,2.34549,2.05099,1.7782,1.37447,0.99146,1.12426,1.11673,1.01493,0.89461,0.69283,0.51519,0.3772,0.19023,0.0669,0.04634,0,0.3754,0.58638,0.83326,1.05251,1.19421,1.18069,1.00068,0.74954,0.38492,0.31332,0.68421,0.63316
410 nm,19.3055,17.81653,16.76233,15.48369,14.4277,12.9528,11.66611,10.17504,8.27459,6.39746,5.94693,5.77772,5.61207,5.14657,4.5491,3.97355,2.73045,1.50956,2.53436,2.61298,2.34329,2.04602,1.62426,1.30277,1.07475,0.82478,0.66771,0.48419,0.3754,0,0.20099,0.48233,0.75577,0.94287,1.04722,1.09689,1.12403,1.1717,1.28624,1.84451,2.00278
400 nm,26.05724,24.03081,22.58113,20.81279,19.32035,17.17814,15.27194,13.10651,10.68678,8.68264,8.03772,7.5837,7.34259,6.69169,5.93257,5.1652,3.73481,2.63267,3.14294,3.4617,3.15353,2.785,2.24253,1.82571,1.52473,1.18687,0.96752,0.7172,0.58638,0.20099,0,0.29339,0.58473,0.7877,0.92968,1.05393,1.17496,1.36309,1.59477,2.42531,2.76956
390 nm,31.51605,29.06073,27.17308,24.863,22.76812,19.75459,17.10318,14.30785,11.69766,9.8142,9.07925,8.42908,8.14219,7.38875,6.59109,5.78012,4.5547,3.70252,3.46885,3.85734,3.54461,3.15765,2.57763,2.13031,1.80622,1.44255,1.20825,0.95119,0.83326,0.48233,0.29339,0,0.29998,0.51624,0.70207,0.92811,1.19089,1.59292,2.01121,3.3081,3.95383
380 nm,36.1869,33.27241,30.88377,27.95999,25.15523,21.17535,17.82907,14.58434,11.88796,10.07758,9.32853,8.62792,8.33176,7.55993,6.77156,5.97507,4.88032,4.1522,3.65436,4.00903,3.69626,3.31034,2.73171,2.28577,1.96316,1.60387,1.3772,1.14183,1.05251,0.75577,0.58473,0.29998,0,0.22633,0.45744,0.79311,1.20081,1.80684,2.40212,4.15688,5.10508
370 nm,39.20807,35.92258,33.15478,29.77531,26.45591,21.81473,18.0491,14.56357,11.80697,10.02273,9.28164,8.58407,8.29159,7.53067,6.75809,5.98174,4.94608,4.27272,3.72777,4.05098,3.73949,3.35896,2.79095,2.35354,2.03763,1.68806,1.47178,1.25886,1.19421,0.94287,0.7877,0.51624,0.22633,0,0.25475,0.65324,1.14405,1.8689,2.57142,4.61381,5.86178
360 nm,40.44408,36.85523,33.68626,29.84,25.91545,20.547,16.32069,12.51292,9.53121,7.81481,7.22742,6.75181,6.53801,5.97742,5.36346,4.7701,4.00031,3.56001,3.21985,3.31694,3.02658,2.70466,2.2525,1.90944,1.66656,1.40933,1.26777,1.16533,1.18069,1.04722,0.92968,0.70207,0.45744,0.25475,0,0.43692,0.99808,1.83951,2.65742,5.02438,6.67437
350 nm,42.88026,38.68902,34.87055,30.27813,25.44148,18.95111,13.93901,9.36278,5.34564,3.0866,2.78004,2.96545,2.9425,2.84583,2.46758,2.14379,1.60954,1.46642,1.46093,1.35801,1.25044,1.15726,1.00569,0.86606,0.76919,0.68548,0.68951,0.82146,1.00068,1.09689,1.05393,0.92811,0.79311,0.65324,0.43692,0,0.61311,1.57143,2.52402,5.30013,7.79347
340 nm,48.24287,43.12873,38.57192,33.14669,27.49491,20.05815,14.51527,9.59138,5.3098,2.86948,2.56316,2.8348,2.83203,2.77897,2.39786,2.07447,1.49243,1.35594,1.38801,1.27563,1.19103,1.13275,1.01498,0.87176,0.72882,0.45114,0.14534,0.36947,0.74954,1.12403,1.17496,1.19089,1.20081,1.14405,0.99808,0.61311,0,1.01398,2.0621,5.18592,8.98335
330 nm,62.56261,55.39424,49.51151,42.6443,35.98247,27.60042,21.91706,17.45166,14.36611,12.39288,11.48952,10.59208,10.22779,9.28931,8.35132,7.39408,6.10103,5.26758,4.56774,5.17211,4.89375,4.51564,3.88871,3.35571,2.89378,2.15912,1.45145,0.45721,0.38492,1.1717,1.36309,1.59292,1.80684,1.8689,1.83951,1.57143,1.01398,0,1.13469,4.73221,10.81109
320 nm,80.90859,71.21608,63.83834,55.389,47.76575,38.43687,32.39828,27.78109,24.64628,21.97369,20.37933,18.57317,17.84182,15.9939,14.17827,12.14845,9.31143,7.42676,5.79464,7.54152,7.6266,7.47767,6.73849,5.9436,5.18056,3.91737,2.71337,1.09441,0.31332,1.28624,1.59477,2.01121,2.40212,2.57142,2.65742,2.52402,2.0621,1.13469,0,3.95875,12.62103
310 nm,141.83158,123.17944,110.79421,97.27543,86.57495,73.7887,65.6378,59.18697,54.54028,49.07793,45.00991,40.01771,37.68517,32.33026,26.6356,20.31487,13.02278,9.29245,6.80563,10.14676,11.31694,12.62006,13.04809,12.31097,10.76579,7.68187,5.05391,2.11797,0.68421,1.84451,2.42531,3.3081,4.15688,4.61381,5.02438,5.30013,5.18592,4.73221,3.95875,0,17.92134
300 nm,129.61639,116.49643,107.3895,96.2504,87.4403,75.65199,67.59289,61.01488,56.287,50.54535,46.33467,40.93097,38.30363,32.00472,25.33968,18.28534,11.22412,7.7017,3.41035,4.65274,4.94943,5.07778,4.09501,2.6202,1.39372,0.94388,1.11588,0.97423,0.63316,2.00278,2.76956,3.95383,5.10508,5.86178,6.67437,7.79347,8.98335,10.81109,12.62103,17.92134,0
