,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
600 nm,148.75691,122.77331,108.54826,91.73561,81.11197,63.85706,49.11807,36.42077,26.24369,10.61099,0,12.63365,15.75562,24.83094,28.5913,30.5249,29.51011,28.22778,22.67828,19.00222,15.21055,11.4638,8.07848,8.0795,9.05584,9.39099,7.82082,5.54309,4.91759,3.06671,5.57244,7.48186,8.72353,9.39846,8.05166,4.40286,2.42414,10.38018,19.45963,46.13114,53.15357
589 nm,148.30305,124.58899,111.62156,96.30231,86.64656,70.96033,57.55459,45.99906,36.76042,22.50312,12.63365,0,3.80181,14.13147,19.52775,23.07245,23.85719,23.60514,20.42926,17.99897,15.68858,13.43671,11.37414,10.94507,11.1054,10.4798,8.51012,5.481,4.47918,2.3504,4.57661,6.47002,7.6685,8.31255,7.07347,3.54492,1.12125,9.24707,17.61226,41.93569,48.20186
580 nm,142.49947,120.30522,108.17271,93.84356,84.82283,70.17825,57.66879,46.88987,38.29504,24.99165,15.75562,3.80181,0,10.55787,16.45083,20.47191,21.79754,21.84903,19.35048,17.29032,15.36268,13.50079,11.82875,11.49137,11.61749,10.97017,9.1443,6.44241,5.17535,2.5933,4.67406,6.37023,7.49724,8.11316,6.9161,3.5452,1.39646,9.01628,17.10938,40.5814,46.55995
570 nm,136.57343,116.92576,106.1917,93.52261,85.57013,72.68567,61.69316,52.23021,44.73379,33.02933,24.83094,14.13147,10.55787,0,7.12905,12.5835,15.49158,16.41145,15.77436,14.62054,13.60382,12.55818,11.62516,11.49121,11.61618,11.05694,9.59565,7.42899,5.64838,2.62581,4.63675,5.9684,6.91437,7.45196,6.39071,3.49264,1.91145,8.26894,15.50162,36.28091,41.27808
560 nm,122.26789,105.65272,96.58411,85.89172,79.21195,68.42911,59.26146,51.40366,45.26808,35.52626,28.5913,19.52775,16.45083,7.12905,0,6.19329,10.19069,11.7111,12.30421,11.72154,11.20205,10.57674,10.02559,10.05712,10.25802,9.85731,8.61313,6.71775,5.09317,2.35641,4.19951,5.42352,6.29885,6.79877,5.83569,3.18383,1.7288,7.56959,14.16764,32.46109,36.44211
550 nm,106.03782,92.42495,85.00821,76.28004,70.87554,62.21043,54.89126,48.67153,43.95099,36.20501,30.5249,23.07245,20.47191,12.5835,6.19329,0,4.82318,6.91132,8.77824,8.78446,8.7933,8.60057,8.42915,8.61454,8.88344,8.63553,7.60951,5.98713,4.52949,2.09059,3.7527,4.86032,5.66097,6.12106,5.26268,2.87203,1.55466,6.8425,12.74305,28.18072,30.90398
540 nm,86.51481,75.90271,70.11361,63.30157,59.09283,52.43225,46.93523,42.42722,39.26646,33.75042,29.51011,23.85719,21.79754,15.49158,10.19069,4.82318,0,2.31631,4.95202,5.30435,5.50956,5.36228,5.14237,5.37886,5.76325,5.74523,4.81347,3.16981,2.61039,1.32017,2.73061,4.01978,4.8455,5.29577,4.54299,2.28672,0.68965,5.98527,11.18723,23.38916,24.87508
532 nm,75.63818,66.5752,61.59232,55.71286,52.03466,46.30889,41.72536,38.12992,35.85796,31.63583,28.22778,23.60514,21.84903,16.41145,11.7111,6.91132,2.31631,0,2.97237,3.53827,3.89858,3.82198,3.62868,3.96222,4.46313,4.65943,3.92579,2.52772,2.14061,1.13323,2.48087,3.7147,4.49585,4.921,4.24061,2.17297,0.77866,5.58388,10.29483,20.44567,21.17388
520 nm,54.50505,48.08832,44.23122,39.51417,36.05276,31.02829,27.62419,25.61811,25.28815,24.13052,22.67828,20.42926,19.35048,15.77436,12.30421,8.77824,4.95202,2.97237,0,0.81976,1.3669,1.40387,1.5189,2.45183,3.34823,4.17956,4.23925,3.96602,3.04235,1.41893,2.76445,3.56937,4.1473,4.48861,3.94271,2.33014,1.53191,5.11271,8.73156,14.6093,13.36285
510 nm,56.53766,49.88521,45.42621,39.72233,34.74176,27.35754,22.34604,19.46256,19.21696,19.42067,19.00222,17.99897,17.29032,14.62054,11.72154,8.78446,5.30435,3.53827,0.81976,0,0.47081,0.42961,1.22937,2.64639,3.7607,4.93653,5.34561,5.02234,3.29831,1.33024,2.77019,3.65326,4.21832,4.54409,4.01009,2.51295,1.86679,5.21727,8.64144,13.8974,10.60732
500 nm,59.14119,52.26059,47.28364,40.71259,34.33386,24.41427,17.06154,12.20911,11.89588,14.27949,15.21055,15.68858,15.36268,13.60382,11.20205,8.7933,5.50956,3.89858,1.3669,0.47081,0,0.21483,1.27942,2.64533,3.74129,4.93398,5.37044,4.84657,2.99555,1.22322,2.47881,3.31734,3.87937,4.20519,3.68646,2.13891,1.33827,4.90573,8.17553,12.86023,7.45813
492 nm,74.96029,66.51864,60.29202,52.00801,43.75388,30.58482,19.95002,10.5197,4.70362,9.03323,11.4638,13.43671,13.50079,12.55818,10.57674,8.60057,5.36228,3.82198,1.40387,0.42961,0.21483,0,1.05701,2.42655,3.55094,4.77148,5.18643,4.45433,2.63122,1.1354,2.17638,2.92369,3.4553,3.77392,3.27311,1.72359,0.68385,4.47472,7.88616,13.53704,6.08597
480 nm,102.16272,91.19707,83.19072,72.58194,62.12904,45.40827,31.70818,19.06523,7.11553,4.56599,8.07848,11.37414,11.82875,11.62516,10.02559,8.42915,5.14237,3.62868,1.5189,1.22937,1.27942,1.05701,0,1.40769,2.60063,3.8642,4.26943,3.56811,2.0803,1.00681,1.79194,2.40324,2.86322,3.14985,2.73047,1.42241,0.50781,3.81935,7.09929,14.08622,5.06393
470 nm,117.9565,105.83193,97.13019,85.66759,74.54485,56.57111,41.537,27.4508,14.26909,7.00827,8.0795,10.94507,11.49137,11.49121,10.05712,8.61454,5.37886,3.96222,2.45183,2.64639,2.64533,2.42655,1.40769,0,1.26171,2.63549,3.15519,2.73852,1.62373,0.8555,1.48553,2.0061,2.41387,2.67448,2.33721,1.27249,0.62006,3.32367,6.28672,13.57115,3.90317
460 nm,118.39368,106.72157,98.5205,87.8064,77.61398,60.86954,46.33868,32.19754,18.51078,9.6062,9.05584,11.1054,11.61749,11.61618,10.25802,8.88344,5.76325,4.46313,3.34823,3.7607,3.74129,3.55094,2.60063,1.26171,0,1.47534,2.15556,2.06708,1.26763,0.72323,1.25195,1.70995,2.08105,2.32284,2.04781,1.15324,0.62794,2.92991,5.58047,12.41858,2.7782
