,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
560 nm,121.60258,105.07229,96.04684,85.40195,78.74121,67.97837,58.8202,50.96105,44.79961,35.07963,28.19858,19.22736,16.20288,7.0251,0,6.1761,10.2386,11.80198,12.41572,11.82109,11.22088,10.53441,9.97308,10.04843,10.25344,9.781,8.45772,6.41945,4.54731,2.02493,3.61618,4.59348,5.27854,5.67405,4.86746,2.74185,1.66149,6.27682,11.72477,27.50603,31.39621
550 nm,107.18035,93.41273,85.90722,77.0696,71.58198,62.76707,55.30883,48.95525,44.09319,36.2055,30.47401,22.9773,20.38504,12.51779,6.1761,0,4.85138,6.96837,8.85448,8.85469,8.80466,8.56432,8.38492,8.6065,8.87747,8.56433,7.46643,5.71305,4.0362,1.79089,3.23033,4.11726,4.74507,5.10976,4.38938,2.47137,1.49342,5.67732,10.57553,24.24424,27.14458
540 nm,88.80775,77.91285,71.96744,64.96761,60.63051,53.74146,48.02824,43.30883,39.93126,34.16175,29.79532,24.00333,21.92103,15.55114,10.2386,4.85138,0,2.34781,5.01731,5.37285,5.53921,5.35415,5.13979,5.44377,5.86678,5.8383,4.87623,3.18578,2.47738,1.1558,2.37752,3.3842,4.03161,4.39021,3.74285,1.87538,0.56936,4.92599,9.31746,20.6325,22.52977
532 nm,78.16799,68.80668,63.66291,57.59238,53.79023,47.83801,43.03087,39.20885,36.69869,32.18931,28.63235,23.84241,22.05433,16.53012,11.80198,6.96837,2.34781,0,3.0167,3.59157,3.92699,3.82052,3.642,4.05687,4.605,4.79805,4.03614,2.5924,2.06604,1.00913,2.17693,3.14077,3.75383,4.09305,3.50509,1.79834,0.6887,4.61146,8.63091,18.39594,19.60749
520 nm,56.44076,49.82192,45.87668,41.06687,37.58146,32.47879,28.94209,26.75187,26.18527,24.72808,23.11869,20.69518,19.57997,15.91545,12.41572,8.85448,5.01731,3.0167,0,0.83417,1.37916,1.4033,1.57453,2.584,3.49915,4.27273,4.23714,3.77689,2.681,1.17725,2.3661,3.05743,3.53022,3.80919,3.34187,2.06383,1.50508,4.32847,7.53444,13.84234,13.08067
510 nm,57.44587,50.71634,46.25063,40.56053,35.65852,28.38702,23.4164,20.48263,20.05891,19.97688,19.4063,18.23789,17.49385,14.74461,11.82109,8.85469,5.37285,3.59157,0.83417,0,0.47616,0.43051,1.29655,2.74426,3.84391,4.89667,5.13632,4.53799,2.81592,1.09878,2.31091,3.09325,3.58968,3.87031,3.43419,2.29107,1.87711,4.47461,7.51398,13.18422,10.47024
500 nm,59.10763,52.25556,47.32584,40.82915,34.55824,24.81046,17.60072,12.86246,12.4597,14.59845,15.41655,15.78085,15.43116,13.62754,11.22088,8.80466,5.53921,3.92699,1.37916,0.47616,0,0.22724,1.33208,2.70898,3.77024,4.80435,5.0429,4.27486,2.54317,1.04056,2.05356,2.76812,3.2595,3.54349,3.11172,1.89121,1.35141,4.16949,7.12506,12.19297,7.3501
492 nm,73.92557,65.63941,59.54861,51.45019,43.39129,30.47392,19.97862,10.6554,4.98236,9.1341,11.50689,13.42146,13.47178,12.50923,10.53441,8.56432,5.35415,3.82052,1.4033,0.43051,0.22724,0,1.0828,2.4438,3.50848,4.52917,4.73025,3.84147,2.2339,1.00617,1.8118,2.41837,2.86403,3.13382,2.71115,1.4374,0.63851,3.7311,6.75899,12.58942,5.83612
480 nm,98.27192,87.84004,80.28463,70.29215,60.48344,44.62084,31.39823,19.01145,7.19631,4.66958,8.11431,11.35324,11.79229,11.56518,9.97308,8.38492,5.13979,3.642,1.57453,1.29655,1.33208,1.0828,0,1.38779,2.50271,3.55104,3.77146,3.0263,1.7764,0.93183,1.51893,1.99794,2.3693,2.60425,2.2537,1.18001,0.45679,3.15686,5.96736,12.67605,4.7111
470 nm,109.31621,98.28446,90.48254,80.25759,70.44763,54.35711,40.50985,27.17445,14.43996,7.40488,8.35317,11.04205,11.54821,11.48269,10.04843,8.6065,5.44377,4.05687,2.584,2.74426,2.70898,2.4438,1.38779,0,1.18805,2.36981,2.73789,2.30711,1.39148,0.80436,1.27229,1.67807,2.00493,2.21712,1.9405,1.08749,0.61199,2.76003,5.24847,11.92541,3.6042
