,700 nm,690 nm,680 nm,671 nm,660 nm,650 nm,640 nm,632 nm,620 nm,610 nm,600 nm,589 nm,580 nm,570 nm,560 nm,550 nm,540 nm,532 nm,520 nm,510 nm,500 nm,492 nm,480 nm,470 nm,460 nm,450 nm,440 nm,430 nm,420 nm,410 nm,400 nm,390 nm,380 nm,370 nm,360 nm,350 nm,340 nm,330 nm,320 nm,310 nm,300 nm
410 nm,20.04191,18.48395,17.42186,16.13155,15.10689,13.69202,12.5168,11.25159,9.80357,7.61045,6.36759,5.91351,5.85712,5.51249,4.99395,4.46811,3.48977,2.59215,1.61033,2.52149,2.39053,2.14885,1.73503,1.40206,1.16064,0.89437,0.72544,0.52619,0.40743,0,0.21711,0.51938,0.80928,1.00308,1.10356,1.134,1.13092,1.12545,1.19152,1.63357,1.91724
400 nm,27.02947,24.92808,23.48536,21.72566,20.30724,18.31621,16.62536,14.77404,12.66522,9.98695,8.64842,7.90299,7.73128,7.16799,6.47829,5.76758,4.4396,3.28112,1.46091,3.16028,3.14562,2.9041,2.39357,1.96536,1.647,1.28643,1.05016,0.77836,0.63548,0.21711,0,0.31506,0.6234,0.83255,0.96933,1.0689,1.14998,1.27076,1.44282,2.12437,2.65793
390 nm,31.99766,29.55918,27.77719,25.59949,23.73052,21.12196,18.86665,16.40453,13.78748,11.10453,9.85071,8.94413,8.68093,7.94918,7.1801,6.3848,5.10295,4.0705,1.64884,3.463,3.50783,3.28623,2.75033,2.2924,1.94993,1.56194,1.30964,1.03037,0.90109,0.51938,0.31506,0,0.31624,0.53583,0.7097,0.89313,1.09247,1.39851,1.73567,2.82212,3.75348
380 nm,35.93712,33.21507,31.08326,28.47519,26.09592,22.80287,19.96227,16.95565,13.99931,11.3594,10.16137,9.22177,8.93312,8.15609,7.37893,6.57855,5.39245,4.4838,2.07011,3.61856,3.66121,3.44724,2.91369,2.45712,2.11624,1.73318,1.48927,1.23306,1.13406,0.80928,0.6234,0.31624,0,0.22642,0.43741,0.71306,1.04015,1.52948,2.02472,3.50748,4.80273
370 nm,38.45442,35.51468,33.12086,30.19451,27.43677,23.64445,20.40784,17.07156,13.92915,11.2983,10.12599,9.1932,8.90407,8.13125,7.3671,6.58305,5.45228,4.60542,2.27946,3.68203,3.71216,3.49921,2.9739,2.5257,2.19193,1.81966,1.58721,1.35476,1.28156,1.00308,0.83255,0.53583,0.22642,0,0.2323,0.56513,0.96894,1.56557,2.15557,3.88547,5.48138
360 nm,38.59666,35.61001,32.99287,29.80719,26.6319,22.34105,18.71559,15.03801,11.61193,8.97612,7.91712,7.19159,6.99071,6.43989,5.86107,5.27758,4.44118,3.87285,2.27918,3.1936,3.09127,2.84723,2.40247,2.04499,1.7873,1.51431,1.36312,1.24904,1.26087,1.10356,0.96933,0.7097,0.43741,0.2323,0,0.36717,0.83381,1.53206,2.22161,4.22729,6.17501
350 nm,39.7091,36.48708,33.46258,29.80327,25.93988,20.79066,16.47531,12.0925,7.75862,4.36649,3.14424,2.85134,2.90658,2.93709,2.7086,2.45893,1.89966,1.65074,1.35082,1.43949,1.32086,1.20812,1.03785,0.89233,0.79485,0.72096,0.73607,0.8741,1.05949,1.134,1.0689,0.89313,0.71306,0.56513,0.36717,0,0.51189,1.30987,2.11434,4.46674,7.12458
340 nm,44.7662,40.87929,37.29315,32.97401,28.41282,22.36594,17.42936,12.56803,7.87388,4.24828,2.92702,2.65113,2.73927,2.83538,2.62869,2.39605,1.79823,1.53982,1.28256,1.35332,1.25112,1.16534,1.02315,0.8715,0.72296,0.44084,0.1338,0.38461,0.78284,1.13092,1.14998,1.09247,1.04015,0.96894,0.83381,0.51189,0,0.84484,1.73058,4.37849,8.16569
330 nm,60.44601,54.72362,49.95309,44.24881,38.62361,31.25475,25.66591,20.71662,16.76726,13.86903,12.5503,11.39513,11.01594,10.03294,9.08904,8.11501,6.69693,5.64029,2.87714,4.47076,4.67127,4.58029,4.05238,3.52052,3.03933,2.27053,1.52953,0.46842,0.3718,1.12545,1.27076,1.39851,1.52948,1.56557,1.53206,1.30987,0.84484,0,0.9599,4.0134,9.83602
320 nm,81.02389,72.91244,66.67343,59.27344,52.44568,43.57287,37.1503,31.72977,27.65406,24.13914,22.15559,20.04338,19.24033,17.22744,15.2718,13.11181,9.98544,7.72242,3.15252,5.56031,6.44304,7.05001,6.77815,6.10861,5.36497,4.08565,2.83893,1.13333,0.25972,1.19152,1.44282,1.73567,2.02472,2.15557,2.22161,2.11434,1.73058,0.9599,0,3.36467,11.56085
310 nm,149.18712,132.3509,120.80751,107.54828,96.58843,82.69117,73.17598,65.35846,59.53188,53.01816,48.27406,42.53084,39.84095,33.86227,27.63206,21.09605,13.54007,9.38665,3.34063,6.457,8.14649,10.25963,11.7372,11.66576,10.51626,7.77086,5.18539,2.16432,0.62685,1.63357,2.12437,2.82212,3.50748,3.88547,4.22729,4.46674,4.37849,4.0134,3.36467,0,16.72067
300 nm,137.62368,124.8114,116.15631,105.1976,96.25705,83.4494,74.00564,65.97844,60.01047,53.33187,48.66401,42.76202,39.85431,33.0127,25.85334,18.61068,11.43199,7.789,1.94548,2.77769,3.53203,4.18802,3.79306,2.60848,1.43178,0.85517,1.11517,1.00508,0.60402,1.91724,2.65793,3.75348,4.80273,5.48138,6.17501,7.12458,8.16569,9.83602,11.56085,16.72067,0
